"","follower_count","following_count","like_count","retweet_count","Num_Syllables","Avg_Syllables","Avg_Words_in_Sentences","Flesh.Kincaid","Num_Big_words","Num_Long_Sentences","Num_Sentences","Num_Short_Sentences","Num_Urls","Num_words","Rate_Adv_adj","class","polarity","subjectibity"
"115",7041608,4594,66,17,50,2.0625,15,14.9875,7,0,1,0,1,16,125,"real",0.333333333333333,0.427777777777778
"116",831684,176,21,4,40,2.6666666667,8,19.3866666667,3,0,1,1,1,9,0,"real",0.166666666666667,0.383333333333333
"117",4265003,518,194,68,28,2.1363636364,21,18.1990909091,5,0,1,0,1,22,0.1363636364,"real",-0.8,1
"118",12616790,61,33,11,50,2.4736842105,6.3333333333,16.0694736842,8,0,3,2,1,19,0.2105263158,"real",0,0.25
"119",7041608,4594,64,21,37,2.15,19,17.58,7,0,1,0,1,20,0.05,"real",0,0.1
"120",210973,263,0,108,71,1.9285714286,6.5,9.8971428571,4,0,2,1,1,14,0.1428571429,"real",0,0
"121",7041608,4594,346,124,43,2.1578947368,18,17.2831578947,8,0,1,0,1,19,0.1052631579,"real",-0.8,1
"122",12616688,61,24,2,36,2.35,19,19.94,7,0,1,0,1,20,0,"real",0,0.1
"123",428739,852,4,3,34,1.2857142857,6,2.3114285714,3,0,1,1,1,7,0.2857142857,"real",0.75,0.95
"124",12616790,61,19,9,41,1.9523809524,7,10.1780952381,7,0,3,2,1,21,0.0476190476,"real",0,0.4
"125",4265003,518,81,14,30,1.9444444444,17,14.3744444444,8,0,1,0,1,18,0.0555555556,"real",0,0
"126",1113108,1736,14,2,26,1.6,7,6215,3,0,2,0,1,15,0,"real",0,0
"127",4265003,518,50,9,21,1.9047619048,20,15.0761904762,7,0,1,0,1,21,0.0952380952,"real",0,0
"128",210973,263,15,19,20,1.5833333333,11,7.7733333333,3,0,1,0,1,12,0.0833333333,"real",0,0
"129",1113108,1736,14,3,20,1.5555555556,8.5,6.2755555556,2,0,2,0,1,18,0,"real",0.35,0.65
"130",210973,263,0,6,17,1.7272727273,10,9.0818181818,3,0,1,0,1,11,0.0909090909,"real",0,0
"131",7041608,4594,59,6,46,1.8,14,11.5,8,0,1,0,1,15,0.0666666667,"real",0.5,0.5
"132",428743,852,12,1,36,2,7.5,11.13,6,0,2,0,1,16,0.0625,"real",0,0.0791666666666667
"133",26341731,71,186,81,25,1.9,4.5,8.78,3,0,2,0,1,10,0.1,"real",0,0
"134",831684,176,0,8,37,1.9,19,14.63,8,0,1,0,1,20,0,"real",0,0
"135",1113108,1736,35,11,25,1.9375,15,13.5125,8,0,1,0,1,16,0.0625,"real",0,0
"136",210973,263,10,6,18,2.4285714286,6,15.7971428571,3,0,1,1,1,7,0.1428571429,"real",0,0
"137",1113108,1736,10,5,24,1.7619047619,10,9.2954761905,5,0,2,1,1,21,0.0476190476,"real",0,0
"138",1113108,1736,3,3,13,2,6.5,10.74,7,0,2,1,1,14,0.1428571429,"real",0,0
"139",12616791,61,29,4,47,2.1363636364,21,18.1990909091,7,0,1,0,1,22,0.0454545455,"real",0,0.75
"140",1113108,1736,10,0,15,2.3846153846,4,14.2384615385,5,0,3,3,2,13,0,"real",-0.2,0.2
"141",1113108,1736,15,6,23,1.6666666667,5.5,6.4166666667,4,0,2,1,1,12,0.0833333333,"real",0,0
"142",12616790,61,121,51,44,1.9473684211,18,14.7989473684,8,0,1,0,1,19,0.0526315789,"real",0.1,0.15
"143",4265003,518,36,10,45,2,18,15.42,7,0,1,0,1,19,0.1052631579,"real",0,0
"144",210973,263,3,11,23,1.7777777778,8,8.8977777778,3,0,1,1,1,9,0.1111111111,"real",0,0
"145",428743,852,35,4,39,2.0869565217,11.5,13.5210869565,8,0,2,1,0,23,0.0869565217,"real",0,0
"146",7041608,4594,97,37,31,2.5333333333,7,17.2283333333,8,0,2,1,1,15,0.0666666667,"real",0,1
"147",1113108,1736,6,6,44,1.75,3.5,6.62,3,0,2,1,1,8,125,"real",0,0
"148",210973,263,3,3,18,1.8,9,9.55,3,0,1,0,1,10,0,"real",0,0
"149",26341736,71,3497,2650,17,2.7777777778,8,20.6977777778,5,0,1,1,1,9,0.1111111111,"real",0,0
"150",831684,176,39,15,37,2.25,19,18.76,7,0,1,0,1,20,0.1,"real",0,0.166666666666667
"151",12616790,61,104,40,20,1.95,19,15.22,7,0,1,0,1,20,0.15,"real",0.1,0.383333333333333
"152",210973,263,4,8,17,1.8888888889,8,10.2088888889,2,0,1,1,1,9,0,"real",0,0
"153",7041608,4594,248,138,40,1.95,19,15.22,8,0,1,0,1,20,0,"real",0.5,0.5
"154",831684,176,18,5,37,2.4444444444,17,20.2744444444,11,0,1,0,1,18,0.1666666667,"real",0,0
"155",210973,263,5,5,22,2875,7,21455,4,0,1,1,1,8,125,"real",0,0
"156",4265003,518,25,9,39,2.4117647059,16,19.4988235294,10,0,1,0,1,17,0.0588235294,"real",0,0
"157",831684,176,0,145,32,2.2857142857,20,19.5714285714,9,0,1,0,1,21,0.0476190476,"real",0,0
"158",831684,176,35,12,15,2.05,19,16.4,9,0,1,0,1,20,0,"real",0,0
"159",4265003,518,16,1,48,2.1904761905,7.3333333333,12.9876190476,8,0,3,1,1,21,0.0952380952,"real",0,0
"160",831684,176,24,5,47,2.7368421053,5,18.5572368421,9,0,4,3,1,19,0.1052631579,"real",0.5,0.5
"161",4265003,518,34,11,37,3,10,24.1,5,0,1,0,1,11,0,"real",0,0
"162",1113108,1736,6,1,36,2.75,3.5,18.42,4,0,2,2,1,8,0,"real",0,0.3
"163",1113108,1736,7,4,18,2,7,11.13,4,0,1,1,1,8,0,"real",0,0
"164",1113108,1736,0,36,31,2,18,15.42,7,0,1,0,1,19,0.0526315789,"real",0,0
"165",831685,176,23,3,35,2.4444444444,17,20.2744444444,9,0,1,0,1,18,0.0555555556,"real",0,0
"166",26341734,71,4037,4042,17,2.25,11,15.64,5,0,1,0,1,12,0.1666666667,"real",0,0
"167",1113108,1736,27,4,47,2.2727272727,5,13.3731818182,7,0,2,1,1,11,0.1818181818,"real",-0.0777777777777778,0.206944444444444
"168",1113108,1736,7,0,12,2.05,19,16.4,9,0,1,0,1,20,0.05,"real",0,0
"169",1113108,1736,22,4,22,1.9090909091,21,15.5172727273,5,0,1,0,1,22,0.0909090909,"real",0,0
"170",4265003,518,35,14,34,2.8333333333,9,21.3533333333,7,0,2,1,1,18,0.1111111111,"real",0.05,0.191666666666667
"171",12616790,61,10,6,32,1.9375,15,13.5125,8,0,1,0,1,16,0.0625,"real",-0.308333333333333,0.791666666666667
"172",4265003,518,82,11,44,1.85,19,14.04,8,0,1,0,1,20,0,"real",0.25,0.575
"173",1113108,1736,26,13,36,2.3684210526,6.3333333333,14.8273684211,7,0,3,2,1,19,0.1052631579,"real",0,0.1
"174",12616791,61,27,8,30,2.3076923077,4,13.3307692308,5,0,3,3,2,13,0.0769230769,"real",-0.2,0.4
"175",428743,852,4,0,29,2,20,16.2,8,0,1,0,1,21,0,"real",-0.25,0.616666666666667
"176",7041608,4594,66,12,39,2,8,11.91,3,0,1,1,2,10,0.1,"real",-0.1,0.1
"177",428739,852,5,1,40,2.2222222222,8.5,14.1422222222,7,0,2,1,1,18,0.1111111111,"real",0.357142857142857,0.571428571428571
"178",1113108,1736,7,1,30,1875,6,9655,3,0,1,1,2,8,0,"real",-0.4,0.625
"179",7041608,4594,36,10,58,1.6315789474,9,7.3676315789,6,0,2,1,1,19,0.1052631579,"real",0,0
"180",26341736,71,805,332,22,1.9090909091,10,11.2272727273,4,0,1,0,1,11,0.0909090909,"real",0,0.1
"181",7041608,4594,35,5,51,1.8235294118,8,9.2426470588,7,0,2,1,1,17,0.0588235294,"real",-0.1,0.1
"182",831684,176,32,4,44,2.1052631579,9,12.9571052632,8,0,2,1,1,19,0.2105263158,"real",0.4,0.6
"183",1588946,490,7,1,41,3.2666666667,7,25.8816666667,7,0,2,0,1,15,0,"real",-0.1,0.2
"184",428743,852,2,1,44,2.1052631579,18,16.6621052632,9,0,1,0,1,19,0.1052631579,"real",0.0333333333333333,0.0333333333333333
"185",7041608,4594,42,17,33,1.9583333333,23,16.8783333333,6,0,1,0,1,24,0,"real",0,0
"186",210973,263,9,10,15,1.5454545455,10,6.9363636364,3,0,1,0,1,11,0.1818181818,"real",0,0
"187",7041608,4594,73,18,36,2.5294117647,16,20.8870588235,9,0,1,0,1,17,0.1176470588,"real",0,0.2
"188",428743,852,5,2,44,2.6111111111,17,22.2411111111,11,0,1,0,1,18,0,"real",0.411111111111111,0.494444444444444
"189",7041608,4594,55,20,39,2.2,7,13295,6,0,2,1,1,15,0.2,"real",0,0
"190",1113108,1736,11,4,47,1.6666666667,8,7.5866666667,2,0,1,1,1,9,0,"real",0,0
